id,title,venue,authors,year,abstract,citations,influential_citations,CPS,Blockchain,IoT,Fault Tolerance,Distributed Systems,sim_max,S_Quali,C_Norm,V_Norm,S_Quant,Score_Global
https://openalex.org/W4302183866,A Quantitative Analysis of Offensive Cyber Operation (OCO) Automation Tools,ARES (Validação DBLP),"Samuel Zurowski, George deF. Lord, Ibrahim Baggili",2022,"The ecosystem for automated offensive security tools has grown in recent years. As more tools automate offensive security techniques via Artificial Intelligence (AI) and Machine Learning (ML), it may result in vulnerabilities due to adversarial attacks. Therefore, it is imperative that research is conducted to help understand the techniques used by these security tools. Our work explores the current state of the art in offensive security tools. First, we employ an abstract model that can be used to understand what phases of an Offensive Cyber Operation (OCO) can be automated. We then adopt a generalizable taxonomy, and apply it to automation tools (such as normal automation and the use of artificial intelligence in automation). We then curated a dataset of tools and research papers and quantitatively analyzed it. Our work resulted in a public dataset that includes analysis of (n=57) papers and OCO tools that are mapped to the the MITRE ATT&CK Framework enterprise techniques, applicable phases of our OCO model, and the details of the automation technique. The results show a need for a granular expansion on the ATT&CK Exploit Public-Facing application technique. A critical finding is that most OCO tools employed Simple Rule Based automation, hinting at a lucrative research opportunity for the use of Artificial Intelligence (AI) and Machine Learning (ML) in future OCO tooling.",8,8,0.5781,0.5349,0.5038,0.5323,0.5388,0.5781,0.0,,,,
https://openalex.org/W4293637499,SASP: a Semantic web-based Approach for management of Sharable cybersecurity Playbooks,ARES (Validação DBLP),"Mehdi Akbari Gurabi, Avikarsha Mandal, Jan Popanda, Robert P. Rapp, Stefan Decker",2022,"In incident management, response and recovery actions are designed to effectively mitigate ongoing or future cyberattacks. A security playbook consists of a pipeline of instructions to document necessary response and recovery actions to deal with a specific type of incident. Since many organisations lack the resources, expertise and know-how to handle incidents, sharing playbooks across organisations could significantly improve their response capabilities against cyberattacks. However, playbooks are often organisation specific and usually not machine-readable, sharable and interoperable. In this work, we propose a semantic web-based approach to capture the knowledge of incident response and recovery steps to support sharing of playbooks based on a standardised and common vocabulary. To further demonstrate our approach, we introduce SASP, a proof-of-concept tool based on Semantic MediaWiki for playbook management. In this paper, we describe the key requirements from incident handlers to share playbooks, SASP architecture design, and its core components and functionalities. We then discuss the results of our user-centric evaluation conducted on members of different Security Operation Centres and the further potential of the solution.",7,7,0.5892,0.529,0.5187,0.5487,0.5866,0.5892,0.0,,,,
https://openalex.org/W4302374057,Adding European Cybersecurity Skills Framework into Curricula Designer,ARES (Validação DBLP),"Jan Hajný, Marek Sikora, Athanasios Vasileios Grammatopoulos, Fabio Di Franco",2022,"We present the updated version of the Curricula Designer, a tool that is devoted to helping study program administrators and education providers to create cybersecurity curricula that are modern and reflect the needs of the job market. Our main contribution is the inclusion of the European Cybersecurity Skills Framework (ECSF) developed by ENISA to the Curricula Designer. The ECSF makes it possible to directly link knowledge and skills with professional profiles, which in turn reflect actual work roles on the job market. By adding ECSF to the Curricula Designer, we get a simple yet powerful tool that helps to identify the right content of cybersecurity curricula using rigorous, deterministic methods, applicable at any higher education provider. At the time of the paper submission, the Curricula Designer is the first practical application that is based on ECSF. However, due to its focus on practicality, usability and simplicity, we expect ECSF to become the dominant framework for cybersecurity knowledge and skills identification in Europe.",7,7,0.5442,0.4951,0.4197,0.4774,0.4919,0.5442,0.0,,,,
https://openalex.org/W4292158612,Cyber-Security Culture Assessment in Academia: A COVID-19 Study,ARES (Validação DBLP),"Anna Georgiadou, Ariadni Michalitsi-Psarrou, Dimitris Askounis",2022,"Times of crisis have long been combined with an increase in cybercrime, exploiting the general instability; therefore, in such times, systems and infrastructures face greater exposure to vulnerabilities. On top of that, the COVID-19 crisis has increased our reliance on the internet, while working-from-home has been the daily reality for a large proportion of the population worldwide. Increased cyber-security awareness becomes a necessity for everyone, starting from a more knowledgeable audience; IT professionals, and software engineers. In this context, this paper aims to assess the cyber-security culture readiness of representatives studying or working within a European Polytechnique Academic Institution, during the COVID-19 crisis. Towards that end, a targeted evaluation campaign was launched for two weeks, from 28th February 2022 to 13th March 2022. The campaign consisted of four questionnaires of increased difficulty and a phishing quiz, all assessing the security culture of the participants against three dimensions; their security attitude, their competency, and their actual behavior. The campaign results have been thoroughly analyzed, and the findings were unforeseen in many cases, supporting the identification of security awareness weaknesses and assisting in drafting targeted, customized training programs.",6,6,0.5473,0.4693,0.4742,0.4961,0.4867,0.5473,0.0,,,,
https://openalex.org/W4301438024,Enhanced Anomaly Detection for Cyber-Attack Detection in Smart Water Distribution Systems,ARES (Validação DBLP),"Branka Stojanović, Helmut Neuschmied, Martin Winter, Ulrike Kleb",2022,"The importance of automated intrusion detection systems, not only in network infrastructures, but also in critical and industrial infrastructures is becoming more evident with the significant increase of cyber-attacks targeting such infrastructures. The most recent research initiatives in this field focus on unsupervised learning methods, due to a constant lack of labelled datasets of a good quality. This paper proposes an enhanced autoencoder based anomaly detection approach for water distribution cyber-attack detection. The proposed approach contains a pipeline of methods, including feature engineering as a pre-processing step, anomaly estimation based on autoencoder, and scores smoothing as a post-processing step. The obtained results are very promising compared to existing approaches.",6,6,0.574,0.5135,0.5535,0.5244,0.5458,0.574,0.0,,,,
https://openalex.org/W4283752596,Current Challenges of Cyber Threat and Vulnerability Identification Using Public Enumerations,ARES (Validação DBLP),"Lukáš Sadlek, Pavel Čeleda, Daniel Tovarňák",2022,"Identification of cyber threats is one of the essential tasks for security teams. Currently, cyber threats can be identified using knowledge organized into various formats, enumerations, and knowledge bases. This paper studies the current challenges of identifying vulnerabilities and threats in cyberspace using enumerations and data about assets. Although enumerations are used in practice, we point out several issues that still decrease the quality of vulnerability and threat identification. Since vulnerability identification methods are based on network monitoring and agents, the issues are related to the asset discovery, the precision of vulnerability discovery, and the amount of data. On the other hand, threat identification utilizes graph-based, nature-language, machine-learning, and ontological approaches. The current trend is to propose methods that utilize tactics, techniques, and procedures instead of low-level indicators of compromise to make cyber threat identification more mature. Cooperation between standards from threat, vulnerability, and asset management is also an unresolved issue confirmed by analyzing relationships between public enumerations and knowledge bases. Last, we studied the usability of techniques from the MITRE ATT&amp;amp;CK knowledge base for threat modeling using network monitoring to capture data. Although network traffic is not the most used data source, it allows the modeling of almost all tactics from the MITRE ATT&amp;amp;CK.",4,4,0.5809,0.5298,0.5328,0.5334,0.5553,0.5809,0.0,,,,
https://openalex.org/W4299981385,Job Adverts Analyzer for Cybersecurity Skills Needs Evaluation,ARES (Validação DBLP),"Sara Ricci, Marek Sikora, Simon Parker, Imre Lendák, Yianna Danidou, Argyro Chatzopoulou, Rémi Badonnel, Donatas Alksnys",2022,"This article presents a new free web-based application, the Cybersecurity Job Ads Analyzer, which has been created to collect and analyse job adverts using a machine learning algorithm. This algorithm enables the detection of the skills required in advertised cybersecurity work positions. The application is both interactive and dynamic allowing for automated analyses and for the underlying database of job adverts to be easily updated. Through the Cybersecurity Job Ads Analyzer, it is possible to explore the skills required over time, and thereby enable academia and other training providers to better understand and address the needs of the industry. We will describe in detail the user interface and technical background of the application, as well as highlight the preliminary statistical results we have obtained from analysing the current database of job adverts.",4,4,0.5565,0.5015,0.5,0.4563,0.4936,0.5565,0.0,,,,
https://openalex.org/W4293586209,Analyzing Coverages of Cyber Insurance Policies Using Ontology,ARES (Validação DBLP),"Markos Charalambous, Aristeidis Farao, George Kalantzantonakis, Panagiotis Kanakakis, Nikos Salamanos, Evangelos E. Kotsifakos, Evangellos Froudakis",2022,"In an era where all the transactions, businesses and services are becoming digital and online, the data assets and the services protection are of utmost importance. Cyber-insurance companies are offering a wide range of coverages, but they also have exclusions. Customers of these companies need to be able to understand the terms and conditions of the related contracts and furthermore they need to be able to compare various offerings in order to determine the most appropriate solutions for their needs. The research in the area is very limited while at the same time the related market is growing, giving every potential solution a high value. In this paper, we propose a methodology and a prototype system that will help customers to compare contracts based on a pre-defined ontology that is describing cyber-insurance terms. After a first preliminary analysis and validation, our approach accuracy is averaging at almost 50%, giving a promising initial evaluation. Fine tuning, larger data set assessment and ontology refinement will be our next steps to improve the accuracy of our tool. Real user evaluation will follow, in order to evaluate the tool in real world cases.",3,3,0.5828,0.5741,0.5484,0.533,0.558,0.5828,0.0,,,,
https://openalex.org/W4300662927,Multi-label Classification of Cybersecurity Text with Distant Supervision,ARES (Validação DBLP),"Masahiro Ishii, Kento Mori, Ryoichi Kuwana, Satoshi Matsuura",2022,"Detailed analysis of cybersecurity intelligence in various data is essential to counter the recent advanced and complex evolution of cyber security attacks and threats. In particular, highly sophisticated learning models are required to classify cyberattacks and threats or extract security intelligence from unstructured data described in natural language.",5,5,0.568,0.4889,0.5248,0.5026,0.5248,0.568,0.0,,,,
https://openalex.org/W4292158645,Privacy-Preserving Polyglot Sharing and Analysis of Confidential Cyber Threat Intelligence,ARES (Validação DBLP),"Davy Preuveneers, Wouter Joosen",2022,"Sharing cyber threat intelligence helps organizations analyze and protect against a growing number and sophistication of security threats. However, organizations are reluctant to share their locally collected cyber threat intelligence with third parties because of the the risk of incidentally disclosing sensitive business data or personally identifiable information, and the subsequent reputational harm or even financial repercussions imposed by the GDPR. To address the different confidentiality needs of threat intelligence producers and consumers, we present and evaluate a practical polyglot solution for privacy-preserving sharing and analysis of confidential or private information, and this on top of a contemporary cyber threat intelligence platform. Additionally, we investigate the security impact and computational overhead of these techniques to analyze correlations between threat events in a privacy-preserving manner and across sharing organizations.",3,3,0.5786,0.575,0.5018,0.5222,0.5479,0.5786,0.0,,,,
https://openalex.org/W4293024072,The cybersecurity-related ethical issues of cloud technology and how to avoid them,ARES (Validação DBLP),"Aleksandra Pawlicka, Marek Pawlicki, Rafał Renk, Rafał Kozik, Michał Choraś",2022,"Nowadays, cloud technology is assuming immense significance, being treated as a critical infrastructure, and is also a buzzword. Nevertheless, the technology has also brought about a number of new adverse phenomena and threats; it has attracted criminals, as well. Whenever the questions of “good” and “bad” arise, the ethical issues arise alongside them; the cybersecurity of cloud technology is no exception. This paper deals with the ethical dilemmas of cloud technology. It discusses a collection of the ethical issues of the cloud technology presented from the perspective of cybersecurity, based on the state-of-the-art literature. The main contribution of this work is that it gathers, synthesizes and organises the cybersecurity-related ethical dilemmas of cloud technology, thus offering the most extensive collection thereof. In addition, the work presents a comprehensive list of recommendations and suggestions which may help solve or prevent these ethical issues, and are a good starting point for anyone designing an ethical cybersecurity strategy.",1,1,0.5885,0.5817,0.5132,0.5579,0.5993,0.5993,0.0,,,,
https://openalex.org/W4299416412,The Platform for Czech National Qualifications Framework in Cybersecurity,ARES (Validação DBLP),"Jakub Vostoupal, František Kasl, Pavel Loutocký, Tomáš Pitner, Patrik Valo, Adam Valalský, Damián Paranič",2022,"The scarcity of cybersecurity experts negatively affects the overall state of cybersecurity among all relevant stakeholders in the private and public sectors. The efforts to close the cybersecurity skills gap are unfortunately limited by the lack of a sufficiently broad and granular taxonomy. In this article, we introduce our work on the Czech National Qualifications Framework in Cybersecurity as a possible remedy for the said problem. Firstly, we shortly describe other relevant projects and initiatives. Further, we focus on the development process of the Czech Framework, its components and their interactions, and subsequently we focus on the Platform and its functions. This interactive platform offers other stakeholders (and future users) an effective access to the framework and its further utilization. It also simplifies and allows for an effective administration and update of a framework on this level of granularity.",1,1,0.5577,0.5266,0.4766,0.5171,0.5318,0.5577,0.0,,,,
https://openalex.org/W4385713380,Adversarial Machine Learning Attacks on Multiclass Classification of IoT Network Traffic,ARES (Validação DBLP),"Vasileios Pantelakis, Panagiotis Bountakas, Aristeidis Farao, Christos Xenakis",2023,"Machine Learning-based Intrusion Detection Systems have been proven to be very effective in the protection of IoT Networks. However, the expansion of Adversarial Machine Learning attacks threatens their efficacy affecting also the security of IoT networks. Thus, this paper proposes a Machine Learning-driven methodology for multiclass classification of cyber-attacks in IoT networks and investigates the robustness of the Machine and Deep Learning classifiers against several well-known Adversarial Machine Learning attacks (JSMA, FGSM, DeepFool). Moreover, the effectiveness of the Adversarial Training defense method has been studied in tackling Adversarial Machine Learning attacks. The proposed methodology was evaluated using a new and large IoT dataset (IoTID20) and the experimental results concluded that the Random Forest classifier can classify the cyber-attacks with high classification accuracy (99.9%) as well as the JSMA, FGSM, and DeepFool attacks can significantly reduce the performance of all the classifiers. Finally, based on the evaluation adversarial training can overall enhance the classifiers’ robustness against all the utilized Adversarial Machine Learning attacks without affecting the performance when only normal samples are present.",17,17,0.517,0.5098,0.5749,0.4811,0.5029,0.5749,0.0,,,,
https://openalex.org/W4385692141,"Tactics, Techniques and Procedures of Cybercrime: A Methodology and Tool for Cybercrime Investigation Process",ARES (Validação DBLP),"G. Sarkar, Hardeep Singh, Subodh Kumar, Sandeep K. Shukla",2023,"Individuals, organizations and nation-states are increasingly falling victim to cyberattacks. A lot of research on how to understand the modus operandi of a cyber attacker through the MITRE ATT&CK framework, CAPEC enumeration and various cyber kill chain frameworks has been available for cyber incident responders for both pre-attack defensive posture preparation as well as post-attack mapping of the indicators. Cybercrime, on the other hand, has a very different set of motives, majorly financial, but also impersonation, harassment and hate crimes, which are targeted mostly towards individuals who are vulnerable. Investigative officers in cyber cells around the world use various investigative processes in their attempt to solve a cybercrime incident, detect the criminal(s), recover the lost money, shut down the accounts of perpetrators, or bring down the cyber-criminal gangs involved in reported cybercrime incidents. However, to the best of our knowledge, there is no framework to map the cybercrime incident narratives to the tactics, techniques and procedures (TTPs) used by cybercriminals, nor are the processes used by cybercrime investigating officers mapped to such TTPs to create a systematic modus operandi for the investigators to solve a cybercrime, cluster multiple crime incidents as attributable to a specific cybercrime operator, or systematically map a set of evidence collected to a pattern of TTPs. In this paper, we present a TTP-based framework for classified cybercrimes to formulate a comprehensive strategy for cybercrime interpretation and action recommendations for law enforcement officers, which can be used as a reference point to establish targeted threat models and incident response methodologies for cybercrime investigations.",15,15,0.5321,0.5072,0.4702,0.4651,0.5066,0.5321,0.0,,,,
https://openalex.org/W4385713516,The Age of fighting machines: the use of cyber deception for Adversarial Artificial Intelligence in Cyber Defence,ARES (Validação DBLP),"David Antunes, Salvador Llopis Sánchez",2023,"Cyber deception has emerged as a valuable technique in the field of cybersecurity, closely linked with adversarial Artificial Intelligence. In an era of pervasive automation, it is getting prominence as a research topic aimed at understanding how novel machine learning algorithms can be deceived using adversarial attacks that exploit vulnerabilities of their models. To this end, the paper describes the state-of-the-art of cyber deception for adversarial AI purposes, focusing on its benefits, challenges, and advanced techniques. In addition, this exploratory research attempts to extend its applicability to the fact that an appropriate and timely discovery of adversarial plans and associated actions may enhance own cyber resilience by introducing analytical findings of the adversary's intent into decision-making for cyber situational awareness. The study of adversarial thinking is as old as history and is one of the most relevant subjects rapidly incorporated into the operational planning process – a methodology to understand the operational environment. Adversarial knowledge is used for adapting own cyber defences in response to the cyber threat landscape.",8,8,0.5743,0.5222,0.461,0.5229,0.5064,0.5743,0.0,,,,
https://openalex.org/W4385713395,Why Mary Can Hack: Effectively Introducing High School Girls to Cybersecurity,ARES (Validação DBLP),"Gabriele Costa, Silvia De Francisci, Serenella Valiani, P. Prinetto",2023,"The gender gap is one of the main concerns in the IT sector, in general, and in cybersecurity, in particular. Although well known, the problem is multifaceted and some of its root causes may be found in the education system. In the last years, many initiatives have been proposed targeting high-school students that might be interested in cybersecurity. Many of these programs rely on capture-the-flag (CTF) competitions to gradually form technical skills in an entertaining way. Despite these efforts, however, the number of girls that attend and complete these programs is still often unsatisfactory.",6,6,0.5396,0.4957,0.4658,0.5107,0.4869,0.5396,0.0,,,,
https://openalex.org/W4385692288,Towards Grammatical Tagging for the Legal Language of Cybersecurity,ARES (Validação DBLP),"Gianpietro Castiglione, Giampaolo Bella, Daniele Francesco Santamaria",2023,"Legal language can be understood as the language typically used by those engaged in the legal profession and, as such, it may come both in spoken or written form. Recent legislation on cybersecurity obviously uses legal language in writing, thus inheriting all its interpretative complications due to the typical abundance of cases and sub-cases as well as to the general richness in detail. This paper faces the challenge of the essential interpretation of the legal language of cybersecurity, namely of the extraction of the essential Parts of Speech (POS) from the legal documents concerning cybersecurity.",4,4,0.5627,0.4954,0.4865,0.4715,0.5178,0.5627,0.0,,,,
https://openalex.org/W4385713357,Enhancing Cybersecurity Education in Europe: The REWIRE’s Course Selection Methodology,ARES (Validação DBLP),"Alan Briones, Sara Ricci, Argyro Chatzopoulou, Jakub Čegan, Petr Dzurenda, Ioannis KOUTOUDİS",2023,"The European Cybersecurity Skills Framework (ECSF) was introduced by the European Union Agency for Cybersecurity (ENISA) to identify the necessary competencies, knowledge, and skills required for European cybersecurity professionals. The ECSF condenses all cybersecurity-related positions into 12 role profiles, aiming to establish a mutual understanding of essential roles and support the creation of cybersecurity training programs. In order to address the shortage of cybersecurity experts, a multi-criteria selection method is developed to increase the availability, accessibility, and quality of cybersecurity courses and certifications. This Course Selection methodology ensures high-quality training materials that meet the current and future needs of the cybersecurity industry and benefit a wide range of participants. The methodology considers six criteria and provides a scoring system to rank the occupational profiles and select the most relevant profiles for the course design. Our final score formula identifies Chief Information Security Officer (CISO), Cyber Incident Responder, Cyber Threat Intelligence Specialist, and Penetration Tester for the Course creation.",3,3,0.5374,0.4892,0.4359,0.4821,0.4871,0.5374,0.0,,,,
https://openalex.org/W4385692317,DJM-CYBER: A Joint Master in Advanced Cybersecurity,ARES (Validação DBLP),"Yianna Danidou, Sara Ricci, Antonio Skármeta, Jiří Hošek, Stefano Zanero, Imre Lendák",2023,Various publicly available studies show that millions of cybersecurity experts are missing worldwide. One possible way to tackle the workforce gap is with tailored higher education programmes. The goal of this paper is to present the relevant projects and frameworks of the European Union which can guide the development of novel cybersecurity education offerings. We describe the most relevant and freely available tools and test them in the development of a joint Master study programme to be offered by a consortium of five European universities. We show that these tools allow educators and study programme developers to map their outputs to the European Cybersecurity Framework developed by the ENISA and other similar frameworks. We complete our work with a detailed analysis of a joint cybersecurity master programme consisting of four innovative and distinctly different tracks.,2,2,0.5676,0.5238,0.4645,0.5155,0.5388,0.5676,0.0,,,,
https://openalex.org/W4385713355,The Curation Mechanism for the Czech National Qualifications Framework in Cybersecurity,ARES (Validação DBLP),"František Kasl, Pavel Loutocký, Jakub Vostoupal",2023,"The cybersecurity field is a fast-paced, ever-changing, and complex environment. Society’s growing dependency on ICT combined with the rising number and seriousness of cyber threats emphasizes the need for a sufficient number of cybersecurity experts, who are, at the moment, still pretty scarce. Furthermore, the lack of common methodology, understanding of individual cybersecurity work roles, and the disparate perspectives of cybersecurity stakeholders from diverse backgrounds (academia, public entities, private sector) further hinder any long-term solutions. In our previous contributions, we presented the National Qualifications Framework in Cybersecurity, which could provide a solution for a sufficiently up-to-date, broad, and granular taxonomy of skills requirements for existing and future cybersecurity work roles that could mitigate this problem. The Platform, including the curation mechanism, was created for this Framework to be easy to navigate, administer, update and flexible. This enabled further utilization (and possibly even development) of the available inputs and synergies from existing qualification frameworks, such as the NICE Framework and the European Cybersecurity Skills Framework. In this article, we introduce and analyze the curation mechanism and the challenges of navigating cybersecurity qualification frameworks and producing a sufficient UI. Primarily we focus on the specific functions of the curation mechanism, e.g., the feedback collection and Framework updates, which could be adapted even for other framework content or languages and thereby implemented in parallel solutions. Therefore, we present the Platform, including the curation mechanism, as a dynamic common reference tool for cybersecurity workforce requirements.",2,2,0.5596,0.5345,0.4869,0.5373,0.5442,0.5596,0.0,,,,
https://openalex.org/W4385713412,Dynamic Cybersecurity Curriculum Optimization Method (DyCSCOM),ARES (Validação DBLP),"Marko Zivanovic, Imre Lendák, Ranko Popović",2023,"Demand for cybersecurity experts is high, driven by the increasing digitization of society and increasing number of sophisticated, targeted cyber attacks. Despite this pressing need, a significant shortfall in the number of cybersecurity experts remains due to very diverse landscape of knowledge and complex curriculum accreditation process. In this paper, we present a new model for curriculum analysis and adjustment that addresses entire curricula or course material. It employs machine learning and text-mining techniques for keyword extraction and further comparison with reference skills frameworks. The analysis illustrates a new measurement that quantifies coverage of cybersecurity role and its importance within curriculum based on keyword matching. The case study was conducted with university curricula from Europe and North America. The results illustrate curriculum coverage according to the ENISA's European Cybersecurity Skills Framework (ECSF) roles and optimization progress after our method application.",3,3,0.5741,0.4937,0.4619,0.4964,0.5193,0.5741,0.0,,,,
https://openalex.org/W4400976785,AIAS: AI-ASsisted cybersecurity platform to defend against adversarial AI attacks,ARES (Validação DBLP),"Georgios Petihakis, Aristeidis Farao, Panagiotis Bountakas, Athanasia Sabazioti, John W. Polley, Christos Xenakis",2024,"The increasing integration of Artificial Intelligence (AI) in critical sectors such as healthcare, finance, and cybersecurity has simultaneously exposed these systems to unique vulnerabilities and cyber threats. This paper discusses the escalating risks associated with adversarial AI and outlines the development of AIAS. AIAS is a comprehensive, AI-driven security platform designed to enhance the resilience of AI systems against such threats. In addition, AIAS features advanced modules for threat simulation, detection, mitigation, and deception, using adversarial defense techniques, attack detection mechanisms, and sophisticated honeypots. The platform leverages explainable AI (XAI) to improve the transparency and effectiveness of threat countermeasures. Through meticulous analysis and innovative methodologies, AIAS aims to revolutionize cybersecurity defenses, enhancing the robustness of AI systems against adversarial attacks while fostering a safer deployment of AI technologies in critical applications. The paper details the components of the AIAS platform, explores its operational framework, and discusses future research directions for advancing AI security measures.",9,9,0.5946,0.5516,0.4921,0.5664,0.5542,0.5946,0.0,,,,
